                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2                                     msun                                     rsun                                     lsun 
                              "r24.08.1"                               "gfortran"                                 "13.3.0"                    "x86_64-linux-24.7.1"                                 "CRMATH"                               "20260122"                  5.0000000000000000E+001                  1.0000000000000000E+003                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57 
                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                               log_xmstar                             log_abs_mdot                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                       pp                                      cno                                tri_alpha                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                             co_core_mass                            one_core_mass                             fe_core_mass                   neutron_rich_core_mass                                 log_Teff                                    log_L                                    log_R                                    log_g                        v_div_csound_surf                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                              num_retries                                num_iters 
                                       1                                      574                  1.0000000000000001E-005                 -4.9999999999999991E+000                  2.4140000000000000E-001                  3.2681243176122003E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  7.8784886720242719E-001                  9.3725625782388522E-002                  9.9999953386811646E-001                  8.7286201433162613E-001                  7.8784886720242719E-001                  9.3725625782388522E-002                  9.9999953386811646E-001                  8.7286201433162613E-001                 -2.0121245880184031E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0121245880184031E+001                 -2.0121245880184031E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6406407046560623E+000                  1.1936590855069624E+000                  8.3820129430585455E-001                  2.1444023044527540E+000                  0.0000000000000000E+000                  1.1588212195112716E+001                 -2.0230755400600180E+000                  5.4774172034795621E+000                  5.9404736429273519E-001                  8.7983926070710738E-001                  1.2199081603557349E+000                  7.5967000000000018E-001                  2.4019443575735702E-001                  1.8957858484314095E-005                  5.1592902048295925E-005                  1.8957858484314098E-005                  5.1592902048295925E-005                  1.8338433800000001E-001                  5.7982936791825972E-002                                        0                                        2 
                                       5                                      574                  7.4416000000000014E-005                 -4.6832750158095005E+000                  2.4140000000000000E-001                  3.2681243176122003E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  7.8784886720242719E-001                  9.3725625781597960E-002                  9.9999953386811646E-001                  8.7286201433158461E-001                  7.8784886720242719E-001                  9.3725625781597960E-002                  9.9999953386811646E-001                  8.7286201433158461E-001                 -2.0121245787931340E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0121245787931340E+001                 -2.0121245787931340E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6405915911240494E+000                  1.1934426457476413E+000                  8.3819130149021803E-001                  2.1444222900840275E+000                  0.0000000000000000E+000                  1.1588212222258273E+001                 -2.0230755237732585E+000                  5.4774172140581996E+000                  5.9404736420368709E-001                  8.7983926070710738E-001                  1.2199081603557349E+000                  7.5967000000000018E-001                  2.4019443575735702E-001                  1.8957858484314095E-005                  5.1592902048295925E-005                  1.8957858484314098E-005                  5.1592902048295925E-005                  1.8338433800000001E-001                  5.7982936791825972E-002                                        0                                        2 
                                      10                                      574                  2.5958682111999997E-004                 -4.2873687855713758E+000                  2.4140000000000000E-001                  3.2681243176122003E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  7.8784886720242719E-001                  9.3725625779410182E-002                  9.9999953386811646E-001                  8.7286201433146493E-001                  7.8784886720242719E-001                  9.3725625779410182E-002                  9.9999953386811646E-001                  8.7286201433146493E-001                 -2.0121245501133714E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0121245501133714E+001                 -2.0121245501133714E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6404549022552515E+000                  1.1928405421629804E+000                  8.3816362743548445E-001                  2.1444776381934942E+000                  0.0000000000000000E+000                  1.1588212293097744E+001                 -2.0230754812711171E+000                  5.4774172416644076E+000                  5.9404736397130575E-001                  8.7983926070710738E-001                  1.2199081603557349E+000                  7.5967000000000018E-001                  2.4019443575735702E-001                  1.8957858484314095E-005                  5.1592902048295925E-005                  1.8957858484314098E-005                  5.1592902048295925E-005                  1.8338433800000001E-001                  5.7982936791825972E-002                                        0                                        2 
                                      15                                      574                  7.2035107872931814E-004                 -3.8914625553332525E+000                  2.4140000000000000E-001                  3.2681243176122003E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  7.8784886720242719E-001                  8.7768430855354559E-002                  9.9999953386811646E-001                  8.7286201433115873E-001                  7.8784886720242719E-001                  8.7768430855354559E-002                  9.9999953386811646E-001                  8.7286201433115873E-001                 -2.0121244718492463E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0121244718492463E+001                 -2.0121244718492463E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6401440480760852E+000                  1.1914725002897550E+000                  8.3810131485720429E-001                  2.1446022633500550E+000                  0.0000000000000000E+000                  1.1588212451328753E+001                 -2.0230753863359920E+000                  5.4774173033272326E+000                  5.9404736345224463E-001                  8.7983926070710738E-001                  1.2199081603557349E+000                  7.5967000000000018E-001                  2.4019443575735702E-001                  1.8957858484314095E-005                  5.1592902048295925E-005                  1.8957858484314098E-005                  5.1592902048295925E-005                  1.8338433800000001E-001                  5.7982936791825972E-002                                        0                                        3 
                                      20                                      574                  1.8668799962237366E-003                 -3.4955563250951283E+000                  2.4140000000000000E-001                  3.2681243176122003E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  7.8784886720242719E-001                  8.7754003188921154E-002                  9.9999953386811646E-001                  8.7286201433036092E-001                  7.8784886720242719E-001                  8.7754003188921154E-002                  9.9999953386811646E-001                  8.7286201433036092E-001                 -2.0121242652320255E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0121242652320255E+001                 -2.0121242652320255E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6395738486611284E+000                  1.1889521228161730E+000                  8.3798152495032741E-001                  2.1448418431638085E+000                  0.0000000000000000E+000                  1.1588212803430286E+001                 -2.0230751750829477E+000                  5.4774174405417577E+000                  5.9404736229720945E-001                  8.7983926070710738E-001                  1.2199081603557349E+000                  7.5967000000000018E-001                  2.4019443575735702E-001                  1.8957858484314095E-005                  5.1592902048295925E-005                  1.8957858484314098E-005                  5.1592902048295925E-005                  1.8338433800000001E-001                  5.7982936791825972E-002                                        0                                        2 
                                      25                                      570                  4.3223265961864939E-003                 -3.4006800905209853E+000                  2.4140000000000000E-001                  3.2681243176122003E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  7.8784886720242719E-001                  8.7754002071925755E-002                  9.9999953386811646E-001                  8.6580251800488506E-001                  7.8784886720242719E-001                  8.7754002071925755E-002                  9.9999953386811646E-001                  8.6580251800488506E-001                 -2.0121237958498547E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0121237958498547E+001                 -2.0121237958498547E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6388968922180567E+000                  1.1859291772943190E+000                  8.3782396507554280E-001                  2.1451569629133780E+000                  0.0000000000000000E+000                  1.1588213539999952E+001                 -2.0230747331577055E+000                  5.4774177275842098E+000                  5.9404735988096569E-001                  8.7983926070710738E-001                  1.2199081603557349E+000                  7.5967000000000018E-001                  2.4019443575735702E-001                  1.8957858484314095E-005                  5.1592902048295925E-005                  1.8957858484314098E-005                  5.1592902048295925E-005                  1.8338433800000001E-001                  5.7982936791825972E-002                                        1                                        5 
                                      30                                      569                  7.2802452869302576E-003                 -3.0839551063304862E+000                  2.4140000000000000E-001                  3.2681243176122003E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  7.9579350184654174E-001                  8.1857771444535460E-002                  9.9999953386811646E-001                  8.5839854773167679E-001                  7.9579350184654174E-001                  8.1857771444535460E-002                  9.9999953386811646E-001                  8.5839854773167679E-001                 -2.0121232978627290E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0121232978627290E+001                 -2.0121232978627290E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6384837447387111E+000                  1.1840629927627286E+000                  8.3771716776843930E-001                  2.1453705575275848E+000                  0.0000000000000000E+000                  1.1588214329868704E+001                 -2.0230742592544910E+000                  5.4774180353976725E+000                  5.9404735728988001E-001                  8.7983926070710738E-001                  1.2199081603557349E+000                  7.5967000000000018E-001                  2.4019443575735702E-001                  1.8957858484314095E-005                  5.1592902048295925E-005                  1.8957858484314098E-005                  5.1592902048295925E-005                  1.8338433800000001E-001                  5.7982936791825972E-002                                        1                                        5 
                                      35                                      569                  1.4640493523481780E-002                 -2.6880488760923620E+000                  2.4140000000000000E-001                  3.2681243176122003E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  8.0598902013721840E-001                  7.6043648351883486E-002                  9.9999953386811646E-001                  8.4661790624108879E-001                  8.0598902013721840E-001                  7.6043648351883486E-002                  9.9999953386811646E-001                  8.4661790624108879E-001                 -2.0121221620213738E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0121221620213738E+001                 -2.0121221620213738E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6381032953254260E+000                  1.1823052820540558E+000                  8.3759921124067194E-001                  2.1456064705831195E+000                  0.0000000000000000E+000                  1.1588216187550874E+001                 -2.0230731446880412E+000                  5.4774187593406278E+000                  5.9404735119595142E-001                  8.7983926070710738E-001                  1.2199081603557349E+000                  7.5967000000000018E-001                  2.4019443575735702E-001                  1.8957858484314095E-005                  5.1592902048295925E-005                  1.8957858484314098E-005                  5.1592902048295925E-005                  1.8338433800000001E-001                  5.7982936791825972E-002                                        1                                        5 
                                      40                                      569                  3.2955146415457659E-002                 -2.2921426458542382E+000                  2.4140000000000000E-001                  3.2681243176122003E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999953386811646E-001                  5.9169294539951914E-002                  1.2414215042427068E-002                  4.7012730279066481E-004                  9.9999953386811646E-001                  5.9169294539951914E-002                  1.2414215042427068E-002                  4.7012730279066481E-004                 -2.0121197685714503E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0121197685714503E+001                 -2.0121197685714503E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6378796783260232E+000                  1.1812346016824835E+000                  8.3751110505369186E-001                  2.1457826829570799E+000                  0.0000000000000000E+000                  1.1588220417677951E+001                 -2.0230706067111091E+000                  5.4774204078324864E+000                  5.9404733731954218E-001                  8.7983926070710738E-001                  1.2199081603557349E+000                  7.5967000000000018E-001                  2.4019443575735702E-001                  1.8957858484314095E-005                  5.1592902048295925E-005                  1.8957858484314098E-005                  5.1592902048295925E-005                  1.8338433800000001E-001                  5.7982936791825972E-002                                        1                                        5 
