                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2                                     msun                                     rsun                                     lsun 
                              "r24.08.1"                               "gfortran"                                 "13.3.0"                    "x86_64-linux-24.7.1"                                 "CRMATH"                               "20260122"                  5.0000000000000000E+001                  1.0000000000000000E+003                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57 
                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                               log_xmstar                             log_abs_mdot                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                       pp                                      cno                                tri_alpha                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                             co_core_mass                            one_core_mass                             fe_core_mass                   neutron_rich_core_mass                                 log_Teff                                    log_L                                    log_R                                    log_g                        v_div_csound_surf                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                              num_retries                                num_iters 
                                       1                                      656                  1.0000000000000001E-005                 -4.9999999999999991E+000                  6.6569999999999996E-001                  3.3121784467312338E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999888900004E-001                  1.8274034829330266E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999888900004E-001                  1.8274034829330266E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -5.8985973760212849E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -5.8985973760212849E+000                 -5.8985973760212858E+000                 -2.0611007379940233E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6804708427865367E+000                  7.3442157725930129E-002                  1.9843255415438796E-001                  3.8644810759460277E+000                  0.0000000000000000E+000                  1.4807563007748048E+001                  1.6732755133936256E-001                  6.4966266299329245E+000                  5.9255667190393080E-001                  8.7983926070710738E-001                  1.2199081603557349E+000                  7.5967000000000018E-001                  2.4019443575735702E-001                  1.8957858484314098E-005                  5.1592902048295925E-005                  1.8957858484314102E-005                  5.1592902048295898E-005                  5.0571231900000013E-001                  1.5989743588367264E-001                                        0                                        2 
                                       5                                      658                  7.4416000000000014E-005                 -4.6832750158095005E+000                  6.6569999999999996E-001                  3.3121784467312338E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999888900004E-001                  1.4416670844562841E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999888900004E-001                  1.4416670844562841E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -5.8985973759372081E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -5.8985973759372081E+000                 -5.8985973759372081E+000                 -2.0611007379682889E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6804643485447288E+000                  7.3416139554988241E-002                  1.9843253355253296E-001                  3.8644811171497380E+000                  0.0000000000000000E+000                  1.4807563007781175E+001                  1.6732755136473795E-001                  6.4966266299406517E+000                  5.9255667190393013E-001                  8.7983926070710738E-001                  1.2199081603557349E+000                  7.5967000000000018E-001                  2.4019443575735702E-001                  1.8957858484314098E-005                  5.1592902048295925E-005                  1.8957858484314102E-005                  5.1592902048295898E-005                  5.0571231900000013E-001                  1.5989743588367264E-001                                        0                                        2 
                                      10                                      658                  2.5958682111999997E-004                 -4.2873687855713758E+000                  6.6569999999999996E-001                  3.3121784467312338E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999888900004E-001                  1.4429037387538082E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999888900004E-001                  1.4429037387538082E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -5.8985973756898691E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -5.8985973756898691E+000                 -5.8985973756898700E+000                 -2.0611007378920483E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6804644106679221E+000                  7.3416389884844530E-002                  1.9843253447107415E-001                  3.8644811153126555E+000                  0.0000000000000000E+000                  1.4807563007878120E+001                  1.6732755143870365E-001                  6.4966266299635702E+000                  5.9255667190392847E-001                  8.7983926070710738E-001                  1.2199081603557349E+000                  7.5967000000000018E-001                  2.4019443575735702E-001                  1.8957858484314098E-005                  5.1592902048295925E-005                  1.8957858484314102E-005                  5.1592902048295892E-005                  5.0571231900000013E-001                  1.5989743588367264E-001                                        0                                        2 
                                      15                                      658                  7.2035107872931814E-004                 -3.8914625553332525E+000                  6.6569999999999996E-001                  3.3121784467312338E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999888900004E-001                  1.4459489476430934E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999888900004E-001                  1.4459489476430934E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -5.8985973750646119E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -5.8985973750646128E+000                 -5.8985973750646128E+000                 -2.0611007376980698E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6804644200728367E+000                  7.3416428215836133E-002                  1.9843253482674125E-001                  3.8644811146013214E+000                  0.0000000000000000E+000                  1.4807563008122195E+001                  1.6732755162444371E-001                  6.4966266300217477E+000                  5.9255667190392458E-001                  8.7983926070710738E-001                  1.2199081603557349E+000                  7.5967000000000018E-001                  2.4019443575735702E-001                  1.8957858484314098E-005                  5.1592902048295925E-005                  1.8957858484314102E-005                  5.1592902048295898E-005                  5.0571231900000013E-001                  1.5989743588367264E-001                                        0                                        2 
                                      20                                      658                  1.8668799962237366E-003                 -3.4955563250951283E+000                  6.6569999999999996E-001                  3.3121784467312338E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999888900004E-001                  1.4535323921496812E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999888900004E-001                  1.4535323921496812E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -5.8985973734974664E+000                 -9.8999999999999986E+001                 -2.1674159687806643E+001                 -5.8985973734974664E+000                 -5.8985973734974673E+000                 -2.0611007372083140E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6804644335426762E+000                  7.3416483077602609E-002                  1.9843253531794655E-001                  3.8644811136189108E+000                  0.0000000000000000E+000                  1.4807563008732471E+001                  1.6732755208836600E-001                  6.4966266301676896E+000                  5.9255667190391459E-001                  8.7983926070710738E-001                  1.2199081603557349E+000                  7.5967000000000018E-001                  2.4019443575735702E-001                  1.8957858484314098E-005                  5.1592902048295925E-005                  1.8957858484314102E-005                  5.1592902048295892E-005                  5.0571231900000013E-001                  1.5989743588367264E-001                                        0                                        2 
                                      25                                      658                  4.7198108322034473E-003                 -3.0996500948570040E+000                  6.6569999999999996E-001                  3.3121784467312338E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999888900004E-001                  1.4733954887532864E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999888900004E-001                  1.4733954887532864E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -5.8985973695842358E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -5.8985973695842358E+000                 -5.8985973695842366E+000                 -2.0611007359729843E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6804644435422542E+000                  7.3416523376383075E-002                  1.9843253546817952E-001                  3.8644811133184449E+000                  0.0000000000000000E+000                  1.4807563010253364E+001                  1.6732755324412879E-001                  6.4966266305317850E+000                  5.9255667190388961E-001                  8.7983926070710738E-001                  1.2199081603557349E+000                  7.5967000000000018E-001                  2.4019443575735702E-001                  1.8957858484314098E-005                  5.1592902048295925E-005                  1.8957858484314102E-005                  5.1592902048295898E-005                  5.0571231900000013E-001                  1.5989743588367264E-001                                        0                                        2 
                                      30                                      658                  1.1818815689988481E-002                 -2.7037438646188803E+000                  6.6569999999999996E-001                  3.3121784467312338E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999888900004E-001                  1.5274733551423544E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999888900004E-001                  1.5274733551423544E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -5.8985973598311139E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -5.8985973598311139E+000                 -5.8985973598311148E+000                 -2.0611007328582112E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6804644465155993E+000                  7.3416533816765883E-002                  1.9843253474168138E-001                  3.8644811147714409E+000                  0.0000000000000000E+000                  1.4807563014036889E+001                  1.6732755611945280E-001                  6.4966266314374170E+000                  5.9255667190382733E-001                  8.7983926070710738E-001                  1.2199081603557349E+000                  7.5967000000000018E-001                  2.4019443575735702E-001                  1.8957858484314098E-005                  5.1592902048295925E-005                  1.8957858484314102E-005                  5.1592902048295892E-005                  5.0571231900000013E-001                  1.5989743588367264E-001                                        0                                        2 
                                      35                                      658                  2.9483411457712130E-002                 -2.3078376343807561E+000                  6.6569999999999996E-001                  3.3121784467312338E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999888900004E-001                  1.6447554142089850E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999888900004E-001                  1.6447554142089850E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -5.8985973355319459E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -5.8985973355319459E+000                 -5.8985973355319468E+000                 -2.0611007250262698E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6804644469480068E+000                  7.3416530929429069E-002                  1.9843253243319869E-001                  3.8644811193884063E+000                  0.0000000000000000E+000                  1.4807563023445647E+001                  1.6732756327064882E-001                  6.4966266336886083E+000                  5.9255667190367312E-001                  8.7983926070710738E-001                  1.2199081603557349E+000                  7.5967000000000018E-001                  2.4019443575735702E-001                  1.8957858484314098E-005                  5.1592902048295925E-005                  1.8957858484314102E-005                  5.1592902048295898E-005                  5.0571231900000013E-001                  1.5989743588367264E-001                                        0                                        2 
                                      40                                      658                  7.3438578398454232E-002                 -1.9119314041426323E+000                  6.6569999999999996E-001                  3.3121784467312338E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999888900004E-001                  1.7656749618714444E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999888900004E-001                  1.7656749618714444E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -5.8985972750089539E+000                 -9.8999999999999986E+001                 -2.1674159687806643E+001                 -5.8985972750089539E+000                 -5.8985972750089548E+000                 -2.0611007054324904E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6804644467684700E+000                  7.3416518411329082E-002                  1.9843252653322266E-001                  3.8644811311883585E+000                  0.0000000000000000E+000                  1.4807563046845001E+001                  1.6732758105748718E-001                  6.4966266392853074E+000                  5.9255667190328964E-001                  8.7983926070710738E-001                  1.2199081603557349E+000                  7.5967000000000018E-001                  2.4019443575735702E-001                  1.8957858484314098E-005                  5.1592902048295925E-005                  1.8957858484314102E-005                  5.1592902048295892E-005                  5.0571231900000013E-001                  1.5989743588367264E-001                                        0                                        2 
