                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2                                     msun                                     rsun                                     lsun 
                              "r24.08.1"                               "gfortran"                                 "13.3.0"                    "x86_64-linux-24.7.1"                                 "CRMATH"                               "20260122"                  5.0000000000000000E+001                  1.0000000000000000E+003                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57 
                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                               log_xmstar                             log_abs_mdot                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                       pp                                      cno                                tri_alpha                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                             co_core_mass                            one_core_mass                             fe_core_mass                   neutron_rich_core_mass                                 log_Teff                                    log_L                                    log_R                                    log_g                        v_div_csound_surf                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                              num_retries                                num_iters 
                                       1                                      655                  1.0000000000000001E-005                 -4.9999999999999991E+000                  7.1519999999999995E-001                  3.3152933416148528E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999888899993E-001                  2.6676613996190274E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999888899993E-001                  2.6676613996190274E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -6.0434457544876423E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -6.0434457544876423E+000                 -6.0434457544876423E+000                 -2.1021517946562390E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6854361784054772E+000                  1.7741329434968980E-001                  2.4048745122838769E-001                  3.8115202306342191E+000                  0.0000000000000000E+000                  1.4703007440688394E+001                  7.3766661262341326E-002                  6.4854533052710606E+000                  5.9255636284507229E-001                  8.7983926070710738E-001                  1.2199081603557349E+000                  7.5967000000000018E-001                  2.4019443575735702E-001                  1.8957858484314098E-005                  5.1592902048295925E-005                  1.8957858484314095E-005                  5.1592902048295925E-005                  5.4331598400000036E-001                  1.7178706045366168E-001                                        0                                        3 
                                       5                                      655                  7.4416000000000014E-005                 -4.6832750158095005E+000                  7.1519999999999995E-001                  3.3152933416148528E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999888899993E-001                  2.2330577683061369E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999888899993E-001                  2.2330577683061369E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -6.0434457544261875E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -6.0434457544261875E+000                 -6.0434457544261884E+000                 -2.1021517947586037E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6854363304687618E+000                  1.7741390441382970E-001                  2.4048745213388811E-001                  3.8115202288232179E+000                  0.0000000000000000E+000                  1.4703007440745290E+001                  7.3766661303278483E-002                  6.4854533052869483E+000                  5.9255636284507140E-001                  8.7983926070710738E-001                  1.2199081603557349E+000                  7.5967000000000018E-001                  2.4019443575735702E-001                  1.8957858484314098E-005                  5.1592902048295925E-005                  1.8957858484314095E-005                  5.1592902048295925E-005                  5.4331598400000036E-001                  1.7178706045366168E-001                                        0                                        2 
                                      10                                      655                  2.5958682111999997E-004                 -4.2873687855713758E+000                  7.1519999999999995E-001                  3.3152933416148528E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999888899993E-001                  2.2330327909798678E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999888899993E-001                  2.2330327909798678E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -6.0434457543677809E+000                 -9.8999999999999986E+001                 -2.1975189683470624E+001                 -6.0434457543677809E+000                 -6.0434457543677809E+000                 -2.1021517954667544E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6854362729740533E+000                  1.7741367265537311E-001                  2.4048745124407769E-001                  3.8115202306028388E+000                  0.0000000000000000E+000                  1.4703007440965216E+001                  7.3766661454741353E-002                  6.4854533053550298E+000                  5.9255636284506619E-001                  8.7983926070710738E-001                  1.2199081603557349E+000                  7.5967000000000018E-001                  2.4019443575735702E-001                  1.8957858484314098E-005                  5.1592902048295925E-005                  1.8957858484314095E-005                  5.1592902048295939E-005                  5.4331598400000036E-001                  1.7178706045366168E-001                                        0                                        2 
                                      15                                      655                  7.2035107872931814E-004                 -3.8914625553332525E+000                  7.1519999999999995E-001                  3.3152933416148528E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999888899993E-001                  2.2330338823949993E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999888899993E-001                  2.2330338823949993E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -6.0434457544291673E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -6.0434457544291673E+000                 -6.0434457544291682E+000                 -2.1021517978210341E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6854362486962420E+000                  1.7741357491123477E-001                  2.4048745092763010E-001                  3.8115202312357339E+000                  0.0000000000000000E+000                  1.4703007441597977E+001                  7.3766661882899570E-002                  6.4854533055583969E+000                  5.9255636284505031E-001                  8.7983926070710738E-001                  1.2199081603557349E+000                  7.5967000000000018E-001                  2.4019443575735702E-001                  1.8957858484314098E-005                  5.1592902048295925E-005                  1.8957858484314095E-005                  5.1592902048295925E-005                  5.4331598400000036E-001                  1.7178706045366168E-001                                        0                                        2 
                                      20                                      655                  1.8668799962237366E-003                 -3.4955563250951283E+000                  7.1519999999999995E-001                  3.3152933416148528E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999888899993E-001                  2.2330903738850022E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999888899993E-001                  2.2330903738850022E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -6.0434457541211000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -6.0434457541211000E+000                 -6.0434457541211000E+000                 -2.1021518016036950E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6854362541844905E+000                  1.7741359746212307E-001                  2.4048745122657780E-001                  3.8115202306378388E+000                  0.0000000000000000E+000                  1.4703007442947515E+001                  7.3766662813308209E-002                  6.4854533059751800E+000                  5.9255636284501878E-001                  8.7983926070710738E-001                  1.2199081603557349E+000                  7.5967000000000018E-001                  2.4019443575735702E-001                  1.8957858484314098E-005                  5.1592902048295925E-005                  1.8957858484314095E-005                  5.1592902048295939E-005                  5.4331598400000036E-001                  1.7178706045366168E-001                                        0                                        2 
                                      25                                      655                  4.7198108322034473E-003                 -3.0996500948570040E+000                  7.1519999999999995E-001                  3.3152933416148528E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999888899993E-001                  2.2333620700861173E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999888899993E-001                  2.2333620700861173E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -6.0434457520107916E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -6.0434457520107916E+000                 -6.0434457520107916E+000                 -2.1021518056623322E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6854362635288092E+000                  1.7741363502561322E-001                  2.4048745131968557E-001                  3.8115202304516229E+000                  0.0000000000000000E+000                  1.4703007445697706E+001                  7.3766664763834366E-002                  6.4854533067709932E+000                  5.9255636284496205E-001                  8.7983926070710738E-001                  1.2199081603557349E+000                  7.5967000000000018E-001                  2.4019443575735702E-001                  1.8957858484314098E-005                  5.1592902048295925E-005                  1.8957858484314095E-005                  5.1592902048295925E-005                  5.4331598400000036E-001                  1.7178706045366168E-001                                        0                                        2 
                                      30                                      655                  1.1818815689988481E-002                 -2.7037438646188803E+000                  7.1519999999999995E-001                  3.3152933416148528E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999888899993E-001                  2.2345387968974686E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999888899993E-001                  2.2345387968974686E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -6.0434457442512421E+000                 -9.8999999999999986E+001                 -2.1674159687806643E+001                 -6.0434457442512421E+000                 -6.0434457442512430E+000                 -2.1021518075901181E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6854362666466756E+000                  1.7741364572448448E-001                  2.4048745043338840E-001                  3.8115202322242174E+000                  0.0000000000000000E+000                  1.4703007451541755E+001                  7.3766669017950967E-002                  6.4854533083546126E+000                  5.9255636284485635E-001                  8.7983926070710738E-001                  1.2199081603557349E+000                  7.5967000000000018E-001                  2.4019443575735702E-001                  1.8957858484314098E-005                  5.1592902048295925E-005                  1.8957858484314095E-005                  5.1592902048295939E-005                  5.4331598400000036E-001                  1.7178706045366168E-001                                        0                                        2 
                                      35                                      655                  2.9483411457712130E-002                 -2.3078376343807561E+000                  7.1519999999999995E-001                  3.3152933416148528E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999888899993E-001                  2.2396977650389616E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999888899993E-001                  2.2396977650389616E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -6.0434457201958924E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -6.0434457201958924E+000                 -6.0434457201958924E+000                 -2.1021518024317686E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6854362671073528E+000                  1.7741364203635951E-001                  2.4048744766797184E-001                  3.8115202377550506E+000                  0.0000000000000000E+000                  1.4703007464554492E+001                  7.3766678686345372E-002                  6.4854533116882171E+000                  5.9255636284464641E-001                  8.7983926070710738E-001                  1.2199081603557349E+000                  7.5967000000000018E-001                  2.4019443575735702E-001                  1.8957858484314098E-005                  5.1592902048295925E-005                  1.8957858484314095E-005                  5.1592902048295925E-005                  5.4331598400000036E-001                  1.7178706045366168E-001                                        0                                        2 
                                      40                                      655                  7.3438578398454232E-002                 -1.9119314041426323E+000                  7.1519999999999995E-001                  3.3152933416148528E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999888899993E-001                  2.2622080086426733E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999888899993E-001                  2.2622080086426733E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -6.0434456521323181E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -6.0434456521323181E+000                 -6.0434456521323181E+000                 -2.1021517807598361E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6854362669192611E+000                  1.7741362717007203E-001                  2.4048744061101113E-001                  3.8115202518689721E+000                  0.0000000000000000E+000                  1.4703007494778332E+001                  7.3766701451169883E-002                  6.4854533191275401E+000                  5.9255636284420088E-001                  8.7983926070710738E-001                  1.2199081603557349E+000                  7.5967000000000018E-001                  2.4019443575735702E-001                  1.8957858484314098E-005                  5.1592902048295925E-005                  1.8957858484314095E-005                  5.1592902048295939E-005                  5.4331598400000036E-001                  1.7178706045366168E-001                                        0                                        2 
