                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2                                     msun                                     rsun                                     lsun 
                              "r24.08.1"                               "gfortran"                                 "13.3.0"                    "x86_64-linux-24.7.1"                                 "CRMATH"                               "20250209"                  5.0000000000000000E+001                  1.0000000000000000E+003                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57 
                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                               log_xmstar                             log_abs_mdot                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                       pp                                      cno                                tri_alpha                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                             co_core_mass                            one_core_mass                             fe_core_mass                   neutron_rich_core_mass                                 log_Teff                                    log_L                                    log_R                                    log_g                        v_div_csound_surf                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                              num_retries                                num_iters 
                                       1                                      536                  1.0000000000000001E-005                 -4.9999999999999991E+000                  8.0000000000000000E+000                  3.4201595897352611E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999848779660716E-001                  2.6211582351751167E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999848779660716E-001                  2.6211582351751167E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.4212213855359336E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.4212213855359336E+001                 -1.4212213855359336E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6409878796754431E+000                  3.2438592488303430E+000                  1.8626070259287832E+000                  1.6159435624375103E+000                  0.0000000000000000E+000                  1.0372767852782960E+001                 -3.6892410459623761E+000                  5.9144983557682753E+000                  6.2166697818444250E-001                  8.5000496627254207E-001                  1.2966429887659308E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4468833607861470E-003                  9.3805276451495445E-003                  3.4468833607861548E-003                  9.3805276451495445E-003                  5.5999999999999988E+000                  2.2397616189179903E+000                                        0                                        2 
                                       5                                      544                  7.4416000000000014E-005                 -4.6832750158095005E+000                  8.0000000000000000E+000                  3.4201595897352611E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999857253336411E-001                  2.2408896480831431E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999857253336411E-001                  2.2408896480831431E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.4212213800284008E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.4212213800284008E+001                 -1.4212213800284008E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6413210064782793E+000                  3.2451934384888497E+000                  1.8626078671523638E+000                  1.6159418799903489E+000                  0.0000000000000000E+000                  1.0372767868754613E+001                 -3.6892410337030261E+000                  5.9144983595249609E+000                  6.2166697817804484E-001                  8.5000496627254207E-001                  1.2966429887659308E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4468833607861470E-003                  9.3805276451495445E-003                  3.4468833607861544E-003                  9.3805276451495445E-003                  5.5999999999999988E+000                  2.2397616189179903E+000                                        0                                        2 
                                      10                                      544                  2.5958682111999997E-004                 -4.2873687855713758E+000                  8.0000000000000000E+000                  3.4201595897352611E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999848779660716E-001                  2.2409236874060358E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999848779660716E-001                  2.2409236874060358E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.4212213628898683E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.4212213628898683E+001                 -1.4212213628898683E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6412965143873643E+000                  3.2450946151657289E+000                  1.8626074396726324E+000                  1.6159427349498117E+000                  0.0000000000000000E+000                  1.0372767917258825E+001                 -3.6892409968424058E+000                  5.9144983712396071E+000                  6.2166697815782579E-001                  8.5000496627254207E-001                  1.2966429887659308E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4468833607861470E-003                  9.3805276451495445E-003                  3.4468833607861540E-003                  9.3805276451495445E-003                  5.5999999999999988E+000                  2.2397616189179903E+000                                        0                                        2 
                                      15                                      544                  7.2035107872931814E-004                 -3.8914625553332525E+000                  8.0000000000000000E+000                  3.4201595897352611E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999848779660716E-001                  2.2410131482528208E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999848779660716E-001                  2.2410131482528208E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.4212213203056860E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.4212213203056860E+001                 -1.4212213203056860E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6412609624094352E+000                  3.2449512349707592E+000                  1.8626068535310061E+000                  1.6159439072330644E+000                  0.0000000000000000E+000                  1.0372768037907798E+001                 -3.6892409051495600E+000                  5.9144984003735193E+000                  6.2166697810754612E-001                  8.5000496627254207E-001                  1.2966429887659308E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4468833607861470E-003                  9.3805276451495445E-003                  3.4468833607861540E-003                  9.3805276451495445E-003                  5.5999999999999988E+000                  2.2397616189179903E+000                                        0                                        2 
                                      20                                      544                  1.8668799962237366E-003                 -3.4955563250951283E+000                  8.0000000000000000E+000                  3.4201595897352611E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999848779660716E-001                  2.2412658541268605E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999848779660716E-001                  2.2412658541268605E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.4212212144943464E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.4212212144943464E+001                 -1.4212212144943464E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6412365023276485E+000                  3.2448519674797516E+000                  1.8626061399490752E+000                  1.6159453343969261E+000                  0.0000000000000000E+000                  1.0372768337992595E+001                 -3.6892406770687303E+000                  5.9144984728226664E+000                  6.2166697798252446E-001                  8.5000496627254207E-001                  1.2966429887659308E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4468833607861470E-003                  9.3805276451495445E-003                  3.4468833607861540E-003                  9.3805276451495445E-003                  5.5999999999999988E+000                  2.2397616189179903E+000                                        0                                        2 
                                      25                                      544                  4.7198108322034473E-003                 -3.0996500948570040E+000                  8.0000000000000000E+000                  3.4201595897352611E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999848779660716E-001                  2.2420860069636367E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999848779660716E-001                  2.2420860069636367E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.4212209510438935E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.4212209510438935E+001                 -1.4212209510438935E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6412201573503884E+000                  3.2447847766684821E+000                  1.8626052344979602E+000                  1.6159471452991561E+000                  0.0000000000000000E+000                  1.0372769084055971E+001                 -3.6892401099329435E+000                  5.9144986528720311E+000                  6.2166697767188495E-001                  8.5000496627254207E-001                  1.2966429887659308E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4468833607861470E-003                  9.3805276451495445E-003                  3.4468833607861535E-003                  9.3805276451495445E-003                  5.5999999999999988E+000                  2.2397616189179903E+000                                        0                                        2 
                                      30                                      544                  1.1818815689988481E-002                 -2.7037438646188803E+000                  8.0000000000000000E+000                  3.4201595897352611E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999848779660716E-001                  2.2453323008323568E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999848779660716E-001                  2.2453323008323568E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.4212202927364757E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.4212202927364757E+001                 -1.4212202927364757E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6412111376317222E+000                  3.2447463178771319E+000                  1.8626040445396186E+000                  1.6159495252158393E+000                  0.0000000000000000E+000                  1.0372770935902068E+001                 -3.6892387015915240E+000                  5.9144990992682791E+000                  6.2166697690215877E-001                  8.5000496627254207E-001                  1.2966429887659308E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4468833607861470E-003                  9.3805276451495445E-003                  3.4468833607861535E-003                  9.3805276451495445E-003                  5.5999999999999988E+000                  2.2397616189179903E+000                                        0                                        2 
                                      35                                      544                  2.9483411457712130E-002                 -2.3078376343807561E+000                  8.0000000000000000E+000                  3.4201595897352611E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999848779660716E-001                  2.2601333156997319E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999848779660716E-001                  2.2601333156997319E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.4212186433590041E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.4212186433590041E+001                 -1.4212186433590041E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6412074503486065E+000                  3.2447280509124954E+000                  1.8626022856235309E+000                  1.6159530430480147E+000                  0.0000000000000000E+000                  1.0372775528175504E+001                 -3.6892352070079553E+000                  5.9145002044957486E+000                  6.2166697499792034E-001                  8.5000496627254207E-001                  1.2966429887659308E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4468833607861470E-003                  9.3805276451495445E-003                  3.4468833607861527E-003                  9.3805276451495445E-003                  5.5999999999999988E+000                  2.2397616189179903E+000                                        0                                        2 
                                      40                                      544                  7.3438578398454232E-002                 -1.9119314041426323E+000                  8.0000000000000000E+000                  3.4201595897352611E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999848779660716E-001                  2.3188076648829461E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999848779660716E-001                  2.3188076648829461E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.4212145119230371E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.4212145119230371E+001                 -1.4212145119230371E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6412066769343348E+000                  3.2447184270259384E+000                  1.8625990205087974E+000                  1.6159595732774816E+000                  0.0000000000000000E+000                  1.0372786921414839E+001                 -3.6892265325021927E+000                  5.9145029427209312E+000                  6.2166697028342299E-001                  8.5000496627254207E-001                  1.2966429887659308E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4468833607861470E-003                  9.3805276451495445E-003                  3.4468833607861527E-003                  9.3805276451495445E-003                  5.5999999999999988E+000                  2.2397616189179903E+000                                        0                                        2 
