ra,dec,bp_rp,phot_g_mean_mag,parallax,ebv
265.2870395552074,-53.71987985751486,0.8375387,16.33725,0.3961380760964502,
265.29145424450564,-53.71834585775405,1.112339,14.82941,0.4253251559676512,
265.2920688223488,-53.71135879908521,0.8932152,17.011036,0.3589886421851079,
265.28666873655004,-53.72075443118201,0.8640003,17.055538,0.3030032010027733,
265.28945713671857,-53.72054002945529,0.9090252,17.34023,0.3680526055202405,
265.2925144519831,-53.717556376770695,0.83548546,16.285212,0.3126961334039964,
265.28292586786466,-53.70843706668042,1.0083256,17.974869,0.5865123077508413,
265.2858703759054,-53.717759019008014,0.98545074,17.73114,0.4149189026237172,
265.2776818908005,-53.71449977894285,1.028307,18.055834,0.5178200882926317,
265.2830017459397,-53.715181343097605,1.1046982,14.854504,0.3819914027000249,
265.2898529168426,-53.72202269807132,0.86556435,16.65394,0.4270029702416279,
265.2987611698698,-53.7100009278745,0.92453766,17.321589,0.3202919360949773,
265.30119965102824,-53.70789960131951,0.8766184,15.943742,0.3913087149062318,
265.2849396261769,-53.70302044863807,0.92822075,17.39073,0.4525275546624029,
265.298871254659,-53.70209595789397,0.9236603,17.470726,0.3512474704187267,
265.29720121346094,-53.70184382974191,0.8906603,16.502483,0.4256949559027612,
265.2918351939914,-53.69996362382698,1.2474022,18.960316,1.1456613281251051,
265.29063143947155,-53.70066266440839,0.8931389,16.880474,0.4516004245458576,
265.28107753219325,-53.696407510322864,0.94330215,17.232079,0.5850745377919738,
265.2916030765478,-53.70688992339397,0.9609852,17.425856,0.5360041758720765,
265.29079795796105,-53.70794702915732,1.004036,17.630909,0.4646563430496108,
265.29394258750096,-53.71087406294375,1.1149616,18.36322,0.6537604335304636,
265.28556974421696,-53.70768339917305,0.9096708,16.128786,0.3245986114550606,
265.27986121027607,-53.70160601402786,0.93016815,16.99543,0.4760309567394575,
265.29234475312273,-53.70178422075438,0.8627262,16.741243,0.4911774658281476,
265.2840797019518,-53.69929528190874,0.8771782,17.09557,0.3779502834616587,
265.27815277066753,-53.6969847257724,0.96715546,17.54093,0.6038353224383942,
265.2924991249609,-53.70722868087046,0.8724289,16.652748,0.2956317193254369,
265.3126982654184,-53.691893489098696,1.0082493,17.857185,0.6051731638980387,
265.30574653885947,-53.69571978978927,1.1338186,14.155051,0.3962710396530153,
265.2891669693703,-53.68734914827954,0.9003658,17.214003,0.3356793751954725,
265.2812764343783,-53.689735530700005,0.99980164,15.5727215,0.4355847615779238,
265.2837956898797,-53.68747016931368,0.4179535,12.901335,0.2957167169847433,
265.2876849662995,-53.68918460881844,0.87446594,17.073753,0.3163871686445602,
265.29035064440654,-53.69073208485442,0.8514576,16.33979,0.4294391191845401,
265.2926508724325,-53.68862275822345,0.9236603,17.37328,0.4997431707493939,
265.3012766747603,-53.69531407846181,0.99030304,17.183342,0.4843000616903687,
265.2924585858025,-53.687272602932616,0.87275505,16.561455,0.4007448526037859,
265.2818585448378,-53.68204752383241,1.0551033,18.122507,0.4730993220691364,
265.2947889874928,-53.69096667280671,0.9203396,17.389952,0.5063542253041312,
265.2916749763075,-53.69180201409378,1.1054935,18.424269,0.6473936061856645,
265.2888030993512,-53.69114429157724,0.9972248,17.889883,1.000768000216815,
265.29258403953867,-53.69397733057203,0.94841003,17.395987,0.4996782340402618,
265.2809542350126,-53.690904874190885,0.9138546,17.452208,0.3351799098792107,
265.29896371405295,-53.700213276929006,1.278305,19.320322,1.5019249801105676,
265.30553285571744,-53.70349287270954,1.0018883,17.662062,0.917184455304008,
265.28527010328025,-53.68386782535121,1.0464001,18.136507,0.5651389187298629,
265.2886017582995,-53.68541604617077,1.1754055,18.54748,0.9037452215300196,
265.3035848572265,-53.69485791166139,0.93520737,15.707853,0.4686457448564528,
265.30043743276343,-53.69055567317559,0.8472748,16.358221,0.47513893428566,
265.2967974322597,-53.6908740863205,0.90597916,16.982107,0.293451921852193,
265.29533133658566,-53.69191097949388,1.1410799,14.481686,0.4356870839568509,
265.2824940841216,-53.68878171391622,0.8391619,16.364197,0.3317147351215932,
265.2935885297751,-53.693537974551376,0.94404984,17.68995,0.4542626081926676,
265.30868395712025,-53.68544112945674,1.2100086,13.106641,0.3908613708495393,
265.3017024111655,-53.682850080953976,0.8730202,16.583166,0.452288094734903,
265.2886170081904,-53.67293741752224,0.92294025,15.746391,0.370331753407833,
265.2984078021162,-53.68865360433475,0.9511757,15.699538,0.324933738259123,
265.29947175937355,-53.677296958762696,0.88809586,16.98324,0.398798601178852,
265.28565275159923,-53.677106055130096,0.8791704,16.565605,0.3496514935914181,
265.2892696284361,-53.67444014624552,0.8986397,16.856571,0.478064291181638,
265.3056665570364,-53.69024954000256,1.4174404,19.223892,2.255088833618287,
265.3050287881157,-53.68564780703661,1.1264572,18.220572,1.0684806748033315,
265.3064467779998,-53.68195711603993,0.9431572,17.690025,0.3752331673789364,
265.30746956404613,-53.680679465556494,1.0755825,18.565102,0.8754984211568702,
265.2866493756512,-53.68231268068346,1.1787663,17.930927,0.5778339923143554,
265.29085460936034,-53.67856375964122,0.9213562,17.022343,0.390741025364014,
265.29156008790363,-53.67810483409375,1.1306229,18.543568,0.965104526065746,
265.28455329743,-53.6776323977874,0.9298363,17.137331,0.5414476637235907,
265.2822057321574,-53.67541695146105,0.9374275,18.118397,0.6454831960929113,
265.2815558601114,-53.6706492232061,0.8726883,16.669636,0.4695944707163227,
265.2929304213237,-53.68158822463019,0.9359436,18.497835,1.0311164300167666,
