teff_gspphot,lum_flame,mass_flame,log_L,log_Teff
6074.9487,8.696331,1.5246959,0.9393360615218604,3.78354261487924
6585.409,2.4998531,1.302147,0.39791448877849916,3.818582752863036
4317.828,0.15716454,0.68353254,-0.8036454342476747,3.6352653382903215
5012.1675,0.49173203,0.8035065,-0.3082715021039767,3.700025576111058
4036.2983,0.13802657,0.6454493,-0.8600373042243485,3.605983255002107
6286.418,3.520586,1.2754418,0.5466149576215399,3.798403254991764
6124.6157,6.537239,1.4204932,0.8153943629655762,3.787078843305062
6016.7964,18.531746,1.8282527,1.2679163390405945,3.779365315820633
4913.6406,1.8068454,0.9489745,0.2569209943986357,3.691403387564298
5420.7764,0.3583806,0.8966933,-0.44565550777382423,3.7340614935656116
4464.601,0.17492089,0.705907,-0.7571583216249992,3.649782652196302
6307.5815,1304.9958,5.6726193,3.1156091139426834,3.7998628707269257
5106.47,193.31755,3.4941812,2.286271282493001,3.7081207848146214
5059.1465,1.0548807,0.9487986,0.023203346589787923,3.704077255652962
5893.064,3.473473,1.1357594,0.5407639273656684,3.7703411576564783
6173.6924,2.5897894,1.1832743,0.41326444897058756,3.790544987259687
6311.762,2.5680916,1.2074146,0.40961051031000206,3.8001506144036097
5062.8247,7.9635663,1.460825,0.9011076000939927,3.7043928902269174
6307.4707,25.739328,2.1968782,1.4105972041961243,3.799855241772589
6251.401,12.594676,1.6979686,1.100186999684705,3.795977357885618
6481.205,2.7919123,1.2632692,0.44590177203698883,3.8116557583704114
4646.329,0.32203877,0.75233454,-0.4920918407778026,3.6671099583324387
5408.4316,0.32784313,0.8963574,-0.48433391260552255,3.733071341590967
6394.9854,2.8970358,1.2755393,0.46195386201300803,3.8058395573046377
5421.285,10.046984,1.514618,1.0020357106384241,3.7341022389857876
6177.086,1.1156076,1.1206828,0.047511464205360156,3.790783647810973
5850.4883,569.6646,4.67994,2.755619232441875,3.767192115166868
4573.521,0.117621444,0.72585833,-0.9295134932099345,3.660250677553167
6503.456,2.7343857,1.2930268,0.43685977415543187,3.8131442063130967
5750.556,1.0487381,0.98168105,0.020667045938157692,3.759709837047587
5743.0347,28.199495,2.2370186,1.4502413309903843,3.7591414403405423
6392.6123,2.862248,1.2526712,0.4567072605786549,3.8056783660831095
6344.0483,6.4925666,1.461316,0.8124164132669383,3.802366480794986
6224.768,6.9016104,1.4742011,0.8389504394663617,3.7941231697119675
6289.2246,2.7502842,1.1899129,0.43937757387186727,3.7985971044755504
4346.6294,0.20881914,0.7015518,-0.6802296971667962,3.6381526131845807
6070.062,8.6861315,1.5162302,0.9388263998929008,3.7831931270094197
6098.3994,165.08516,3.262797,2.217708034984297,3.7852158640332756
6491.3677,1.7915758,1.2181107,0.25323518750928564,3.8123362102030898
6732.513,6.5603685,1.4868958,0.8169282346533727,3.8281772006758708
6398.525,2.6549308,1.2450895,0.4240532058055074,3.8060798711417796
6115.773,3.4008856,1.219913,0.5315920232516428,3.786451357270537
5782.1357,2.0679219,1.0167373,0.3155341325652641,3.762088279840629
4995.789,0.3364576,0.8027144,-0.47306965728322853,3.698604087414106
5988.851,21.263317,1.9186423,1.327631013829328,3.7773435081613878
4392.624,0.16741042,0.7001806,-0.7762175140389082,3.642724030100319
5389.563,1.837856,0.95986426,0.26431148046938524,3.73155355287086
5644.34,1.7434462,0.95968926,0.24140855027601776,3.751613166612507
6464.869,2.4935846,1.2668866,0.39682410714026495,3.810559729037984
9007.25,19.89328,2.0287766,1.2987063954150195,3.954592216936464
5932.636,8.111798,1.5023507,0.9091171273223931,3.773247702788667
6452.431,1.1927034,1.1356714,0.07653245728444316,3.8097233690501606
6106.299,22.116417,1.9678636,1.3447147698673332,3.7857780660731626
6347.1455,1.2940995,1.2089565,0.11196766940815696,3.8025784540604257
6450.136,2.764648,1.2654881,0.441639843999066,3.809568871755711
5876.9136,4.57013,1.2334347,0.6599285540041271,3.769149305940014
6040.6157,7.327941,1.4526334,0.8649819640061935,3.781081207078863
4697.4727,0.25074822,0.7550401,-0.600762141246414,3.671864264818586
6267.483,30.773659,2.074261,1.4881791371000492,3.797093164646017
6412.0522,1.6379023,1.2149961,0.2142879927624111,3.8069970492528618
5515.7104,4.3444295,1.2617731,0.6379327540253839,3.741601455657602
5913.77,0.8815056,1.0252823,-0.054774924384087965,3.771864429815861
5844.7036,0.9347116,0.9781883,-0.029322367575895607,3.7667624918625524
5393.0938,0.3624853,0.90868646,-0.440709600840108,3.731837973870239
6051.9707,4.186921,1.2517244,0.6218947665784178,3.78189681676372
6353.752,5.946096,1.431762,0.7742319166303887,3.803030259415671
6169.701,3.4935944,1.2687594,0.5432724827686055,3.790264117485985
6409.455,3.0638433,1.253861,0.4862665495749295,3.8068211027551166
6065.9443,4.1621943,1.2640557,0.6193223501303428,3.7828984181220724
6129.234,4.9423532,1.3676716,0.6939337785670422,3.7874062020290293
8595.542,87.86267,2.6968448,1.9438043966147998,3.9342732667342686
5949.743,0.88181686,1.0184988,-0.054621601886464664,3.774498206721424
4529.4844,0.22068475,0.73044926,-0.656227676895791,3.656048768242603
5896.096,437.0038,4.3787413,2.640485213427758,3.7705645460740014
6103.2085,20.534548,1.8792682,1.3124851477415942,3.7855582067340388
6011.9,5.4248195,1.3410143,0.7343852924822064,3.779011748061014
6261.6606,7.4337316,1.5044155,0.8712068765413534,3.796689523909797
6154.607,7.2589836,1.4742851,0.8608758152161441,3.7892003264500236
5925.046,5.7906337,1.3599725,0.7627260934949059,3.7726917264068027
6131.674,1.8051375,1.0944946,0.25651028835630013,3.787579056853457
