bp_rp,phot_g_mean_mag,parallax
0.8375387,16.33725,0.3961380760964502
1.112339,14.82941,0.42532515596765125
0.8932152,17.011036,0.3589886421851079
0.8640003,17.055538,0.3030032010027733
0.9090252,17.34023,0.36805260552024055
0.83548546,16.285212,0.3126961334039964
1.0083256,17.974869,0.5865123077508413
0.98545074,17.73114,0.4149189026237172
1.028307,18.055834,0.5178200882926317
1.1046982,14.854504,0.3819914027000249
0.86556435,16.65394,0.4270029702416279
0.92453766,17.321589,0.32029193609497736
0.8766184,15.943742,0.39130871490623187
0.92822075,17.39073,0.4525275546624029
0.9236603,17.470726,0.3512474704187267
0.8906603,16.502483,0.42569495590276124
1.2474022,18.960316,1.1456613281251053
0.8931389,16.880474,0.4516004245458576
0.94330215,17.232079,0.5850745377919738
0.9609852,17.425856,0.5360041758720765
1.004036,17.630909,0.46465634304961084
1.1149616,18.36322,0.6537604335304636
0.9096708,16.128786,0.3245986114550606
0.93016815,16.99543,0.47603095673945756
0.8627262,16.741243,0.4911774658281476
0.8771782,17.09557,0.3779502834616587
0.96715546,17.54093,0.6038353224383942
0.8724289,16.652748,0.29563171932543697
1.0082493,17.857185,0.6051731638980387
1.1338186,14.155051,0.3962710396530153
0.9003658,17.214003,0.3356793751954725
0.99980164,15.5727215,0.43558476157792386
0.4179535,12.901335,0.2957167169847433
0.87446594,17.073753,0.3163871686445602
0.8514576,16.33979,0.42943911918454014
0.9236603,17.37328,0.49974317074939395
0.99030304,17.183342,0.4843000616903687
0.87275505,16.561455,0.4007448526037859
1.0551033,18.122507,0.47309932206913646
0.9203396,17.389952,0.5063542253041312
1.1054935,18.424269,0.6473936061856645
0.9972248,17.889883,1.0007680002168147
0.94841003,17.395987,0.49967823404026185
0.9138546,17.452208,0.3351799098792107
1.278305,19.320322,1.5019249801105676
1.0018883,17.662062,0.9171844553040079
1.0464001,18.136507,0.5651389187298629
1.1754055,18.54748,0.9037452215300195
0.93520737,15.707853,0.4686457448564528
0.8472748,16.358221,0.47513893428566006
0.90597916,16.982107,0.293451921852193
1.1410799,14.481686,0.43568708395685096
0.8391619,16.364197,0.3317147351215932
0.94404984,17.68995,0.4542626081926676
1.2100086,13.106641,0.3908613708495393
0.8730202,16.583166,0.45228809473490306
0.92294025,15.746391,0.370331753407833
0.9511757,15.699538,0.324933738259123
0.88809586,16.98324,0.398798601178852
0.8791704,16.565605,0.3496514935914181
0.8986397,16.856571,0.47806429118163807
1.4174404,19.223892,2.255088833618287
1.1264572,18.220572,1.0684806748033315
0.9431572,17.690025,0.3752331673789364
1.0755825,18.565102,0.8754984211568702
1.1787663,17.930927,0.5778339923143554
0.9213562,17.022343,0.39074102536401406
1.1306229,18.543568,0.9651045260657461
0.9298363,17.137331,0.5414476637235907
0.9374275,18.118397,0.6454831960929113
0.8726883,16.669636,0.46959447071632276
0.9359436,18.497835,1.0311164300167666
1.0526829,17.981031,0.7216959901176508
0.9465847,17.897486,0.5446952866917162
0.28097248,13.303255,0.3924907538612635
0.99053574,15.591889,0.41390358226305884
0.96764183,15.673086,0.32053358966190726
0.84863377,16.339375,0.4136819976188671
0.9510956,17.538498,0.357012103295679
0.9368763,17.571661,0.435430103193325
1.2005653,18.196123,0.5783891636854369
1.0782757,18.264107,0.6350487316148561
1.1883955,13.548716,0.4062158859731402
0.8590059,16.270597,0.43553718365002086
0.8846359,16.75432,0.3873042180698704
0.92002296,17.246841,0.33724517193794834
0.90033436,15.895795,0.4248088781864799
1.1851616,18.668175,0.9613119591614511
1.1588745,19.279444,2.211106864805956
1.0544682,18.013977,0.527776560665619
1.3090401,19.002989,1.3285604207018125
0.9276829,17.43337,0.4246643741542535
0.8854866,17.422657,0.4521437521124605
1.0256119,17.928122,0.6411450118524002
0.90519524,17.307678,0.4692697866628505
0.94018173,17.455109,0.47458041038737614
0.8619213,16.683048,0.3653359062732005
0.87540436,15.932171,0.4035796934797874
0.8770914,15.992077,0.3918642242805578
0.8745327,16.20569,0.2443909893380984
0.9800339,17.788574,0.5077780157146712
0.8614855,16.46798,0.4833695549499809
0.23537827,13.557208,0.4191472345621436
1.0128746,17.49118,0.40155688530537514
0.4286499,12.979039,0.37997579910074536
0.94860363,15.791826,0.21212424034728736
1.0019741,17.815948,0.4457445225615605
0.8893852,16.744223,0.3755622783759651
0.95539284,17.82418,0.4728687763440076
0.85361385,16.098314,0.24902678985480037
0.8856945,16.87496,0.6046716651494695
0.9319439,17.36395,0.5425024096253714
0.91034126,15.828401,0.4063841622869263
0.8985348,15.948751,0.32790615537195206
0.888834,17.170494,0.4623178283023134
0.84662914,16.327787,0.36389127277487054
0.9777298,17.667568,0.4842439870057853
1.1778355,13.725414,0.36586891209637773
0.86144257,16.138943,0.31832299660557506
0.8975315,15.907524,0.4075876281264065
0.9328766,15.813075,0.4137595597782545
0.9315262,17.821823,0.41796007194484736
1.0019989,18.003174,0.5799714046674748
1.1994305,18.70648,0.6574702111703242
1.1604424,14.012932,0.4183465051001038
1.0368319,15.491863,0.3585687751248685
1.0826492,15.208975,0.3939681017212163
0.92019653,17.351908,0.38230120695320724
0.9317646,17.463531,0.594176877805039
0.9033127,17.26931,0.3835248949556086
0.87274265,16.448523,0.3988376924585832
1.1421089,18.44602,0.9178799441619153
0.9966984,18.03048,0.4937560201385777
0.9091873,17.193918,0.3822947671378473
0.94298553,17.23507,0.4850342193444325
1.3170719,11.990104,0.39575255443543755
1.1152973,14.956611,0.39011396644836605
0.8619385,16.427507,0.28144985922507815
1.2839346,12.275423,0.39434834576479727
0.89585304,16.708782,0.3432441982867634
0.86831856,16.771206,0.3671040686649801
0.8617983,16.038214,0.3688963046243184
0.94228554,17.205965,0.34189726414584476
1.0201015,17.46103,0.4425762573455899
0.9963074,17.398504,0.5687655442993499
